model,epoch,val_loss,val_f1_macro
bert-base-uncased_1,1.0,0.4818823337554931,0.7113433494895545
bert-base-uncased_1,2.0,0.4735793471336365,0.7679597701149425
bert-base-uncased_1,3.0,0.6194950938224792,0.7605042016806722
bert-base-uncased_1,4.0,0.9168588519096376,0.7323431922488526
bert-base-uncased_1,5.0,0.9799609780311584,0.7518565941101152
bert-base-uncased_1,5.0,0.4735793471336365,0.7679597701149425
bert-base-uncased_1,5.0,0.4609315395355224,0.7659795184170721
bert-base-uncased_2,1.0,0.500360369682312,0.7291194284826836
bert-base-uncased_2,2.0,0.49509197473526,0.7584242610522002
bert-base-uncased_2,3.0,0.5895189046859741,0.7607480239059186
bert-base-uncased_2,4.0,0.6992300152778625,0.7627149321266968
bert-base-uncased_2,5.0,0.8074042201042175,0.7568828250060957
bert-base-uncased_2,5.0,0.6992300152778625,0.7627149321266968
bert-base-uncased_2,5.0,0.6471409797668457,0.7635379253182581
bert-base-uncased_3,1.0,0.4813102185726166,0.7338236061127628
bert-base-uncased_3,2.0,0.4878455996513366,0.7605969551282051
bert-base-uncased_3,3.0,0.619339644908905,0.7650427744480304
bert-base-uncased_3,4.0,0.7861974835395813,0.7578991818421748
bert-base-uncased_3,5.0,0.8409297466278076,0.7627149321266968
bert-base-uncased_3,5.0,0.619339644908905,0.7650427744480304
bert-base-uncased_3,5.0,0.5938223004341125,0.7670615355061792
bert-base-german-cased_1,1.0,0.5847480893135071,0.7039809863339275
bert-base-german-cased_1,2.0,0.6163480877876282,0.6863526570048308
bert-base-german-cased_1,3.0,0.814995527267456,0.689415985648794
bert-base-german-cased_1,4.0,1.2548952102661133,0.6915188470066518
bert-base-german-cased_1,5.0,1.415990710258484,0.690341812400636
bert-base-german-cased_1,5.0,0.5847480893135071,0.7039809863339275
bert-base-german-cased_1,5.0,0.5820242762565613,0.7106803797468355
bert-base-german-cased_2,1.0,0.6094978451728821,0.6733843223676994
bert-base-german-cased_2,2.0,0.6159541010856628,0.6983916216566997
bert-base-german-cased_2,3.0,0.8278825879096985,0.6743973358516825
bert-base-german-cased_2,4.0,1.1892169713974,0.6823867962778003
bert-base-german-cased_2,5.0,1.4084581136703491,0.6686283655706956
bert-base-german-cased_2,5.0,0.6159541010856628,0.6983916216566997
bert-base-german-cased_2,5.0,0.6390640139579773,0.6691741357234315
bert-base-german-cased_3,1.0,0.5913471579551697,0.6948206777145685
bert-base-german-cased_3,2.0,0.6326277852058411,0.6898122542562071
bert-base-german-cased_3,3.0,0.8075109720230103,0.6860684263534198
bert-base-german-cased_3,4.0,1.1918623447418213,0.6881580902382249
bert-base-german-cased_3,5.0,1.4038934707641602,0.6757126025959626
bert-base-german-cased_3,5.0,0.5913471579551697,0.6948206777145685
bert-base-german-cased_3,5.0,0.5887514352798462,0.696540130285912
bert-base-chinese_1,1.0,0.3305372297763824,0.8687461666520635
bert-base-chinese_1,2.0,0.310627818107605,0.8924082453494218
bert-base-chinese_1,3.0,0.4284127950668335,0.8876050420168067
bert-base-chinese_1,4.0,0.5848190188407898,0.8924646610299097
bert-base-chinese_1,5.0,0.5613693594932556,0.9018605870020964
bert-base-chinese_1,5.0,0.5613693594932556,0.9018605870020964
bert-base-chinese_1,5.0,0.6942426562309265,0.8761621400300259
bert-base-chinese_2,1.0,0.3244708776473999,0.8615987503768052
bert-base-chinese_2,2.0,0.2877867221832275,0.8946060861428344
bert-base-chinese_2,3.0,0.3593666553497314,0.8876050420168067
bert-base-chinese_2,4.0,0.4604849517345428,0.9042050845329536
bert-base-chinese_2,5.0,0.5011524558067322,0.908878007238663
bert-base-chinese_2,5.0,0.5011524558067322,0.908878007238663
bert-base-chinese_2,5.0,0.6713104248046875,0.879672732979863
bert-base-chinese_3,1.0,0.2974501550197601,0.885498392107404
bert-base-chinese_3,2.0,0.2991627752780914,0.8993343288317115
bert-base-chinese_3,3.0,0.4338099360466003,0.8968719880837641
bert-base-chinese_3,4.0,0.4812865853309631,0.8948592391215342
bert-base-chinese_3,5.0,0.5055851936340332,0.8994663039500063
bert-base-chinese_3,5.0,0.5055851936340332,0.8994663039500063
bert-base-chinese_3,5.0,0.6587863564491272,0.8772880495107496
xlm-roberta-base_1,1.0,0.4249307811260223,0.7963012131493414
xlm-roberta-base_1,2.0,0.4371605515480041,0.8074835803299613
xlm-roberta-base_1,3.0,0.4745468497276306,0.8132705968573758
xlm-roberta-base_1,4.0,0.5748288035392761,0.8064197532410549
xlm-roberta-base_1,5.0,0.7500051259994507,0.8099427816350897
xlm-roberta-base_1,5.0,0.4745468497276306,0.8132705968573758
xlm-roberta-base_1,5.0,0.4919905662536621,0.806581642776597
xlm-roberta-base_2,1.0,0.4413112103939056,0.7902409275481784
xlm-roberta-base_2,2.0,0.4587558209896087,0.8055892140283333
xlm-roberta-base_2,3.0,0.4695603549480438,0.8110585887228609
xlm-roberta-base_2,4.0,0.5544238090515137,0.8088329340087226
xlm-roberta-base_2,5.0,0.6842628717422485,0.8117373074837042
xlm-roberta-base_2,5.0,0.6842628717422485,0.8117373074837042
xlm-roberta-base_2,5.0,0.7127009034156799,0.807954825675995
xlm-roberta-base_3,1.0,0.4352417886257171,0.7988530899717363
xlm-roberta-base_3,2.0,0.4335202276706695,0.8137455889127841
xlm-roberta-base_3,3.0,0.4710861444473266,0.8143841061519377
xlm-roberta-base_3,4.0,0.6225771307945251,0.8121841712390915
xlm-roberta-base_3,5.0,0.7789130210876465,0.8114950021729683
xlm-roberta-base_3,5.0,0.4710861444473266,0.8143841061519377
xlm-roberta-base_3,5.0,0.4963292181491852,0.804486922968793
bert-base-multilingual-cased_1,1.0,0.4701052010059356,0.7782878569913553
bert-base-multilingual-cased_1,2.0,0.4968981742858886,0.7860712635026328
bert-base-multilingual-cased_1,3.0,0.5653668642044067,0.7847344478303326
bert-base-multilingual-cased_1,4.0,0.818452000617981,0.7805356727226708
bert-base-multilingual-cased_1,5.0,0.9808504581451416,0.7782597910940465
bert-base-multilingual-cased_1,5.0,0.4968981742858886,0.7860712635026328
bert-base-multilingual-cased_1,5.0,0.5077368021011353,0.7823744181843443
bert-base-multilingual-cased_2,1.0,0.463108479976654,0.7819231122761819
bert-base-multilingual-cased_2,2.0,0.4879522025585174,0.7865455941985309
bert-base-multilingual-cased_2,3.0,0.5136168003082275,0.7930494262266035
bert-base-multilingual-cased_2,4.0,0.7678523063659668,0.7894892275350034
bert-base-multilingual-cased_2,5.0,0.9676731824874878,0.7898410527981281
bert-base-multilingual-cased_2,5.0,0.5136168003082275,0.7930494262266035
bert-base-multilingual-cased_2,5.0,0.5263298153877258,0.7842939654257431
bert-base-multilingual-cased_3,1.0,0.4668407142162323,0.7705784820534638
bert-base-multilingual-cased_3,2.0,0.4827452003955841,0.7872958946499213
bert-base-multilingual-cased_3,3.0,0.5263928174972534,0.79300309849064
bert-base-multilingual-cased_3,4.0,0.8178568482398987,0.786759403829155
bert-base-multilingual-cased_3,5.0,1.0201170444488523,0.782746170206075
bert-base-multilingual-cased_3,5.0,0.5263928174972534,0.79300309849064
bert-base-multilingual-cased_3,5.0,0.540036141872406,0.7860249616648796
microsoft_mdeberta-v3-base_1,1.0,0.4153057336807251,0.8007599813071562
microsoft_mdeberta-v3-base_1,2.0,0.426214724779129,0.8152205018715011
microsoft_mdeberta-v3-base_1,3.0,0.4457129240036011,0.8222301164256884
microsoft_mdeberta-v3-base_1,4.0,0.5823900699615479,0.8172610147130763
microsoft_mdeberta-v3-base_1,5.0,0.7876339554786682,0.8172823120601188
microsoft_mdeberta-v3-base_1,5.0,0.4457129240036011,0.8222301164256884
microsoft_mdeberta-v3-base_1,5.0,0.4653480947017669,0.8114454547425125
microsoft_mdeberta-v3-base_2,1.0,0.4262350499629974,0.7979319286773346
microsoft_mdeberta-v3-base_2,2.0,0.4186068177223205,0.8182385559727219
microsoft_mdeberta-v3-base_2,3.0,0.4396806359291076,0.817859823591401
microsoft_mdeberta-v3-base_2,4.0,0.6608368158340454,0.8145442029373346
microsoft_mdeberta-v3-base_2,5.0,0.8286541104316711,0.8153826011674916
microsoft_mdeberta-v3-base_2,5.0,0.4186068177223205,0.8182385559727219
microsoft_mdeberta-v3-base_2,5.0,0.4309847354888916,0.8097832208940128
microsoft_mdeberta-v3-base_3,1.0,0.4356356859207153,0.7837958137577838
microsoft_mdeberta-v3-base_3,2.0,0.4230716824531555,0.8161737010771404
microsoft_mdeberta-v3-base_3,3.0,0.4732166230678558,0.8227588834192497
microsoft_mdeberta-v3-base_3,4.0,0.6613569855690002,0.817496154722928
microsoft_mdeberta-v3-base_3,5.0,0.7951668500900269,0.8187118793906105
microsoft_mdeberta-v3-base_3,5.0,0.4732166230678558,0.8227588834192497
microsoft_mdeberta-v3-base_3,5.0,0.4957315027713775,0.8118338937752319
mono_amh_microsoft_mdeberta-v3-base_1,1.0,0.5059036016464233,0.429059829059829
mono_amh_microsoft_mdeberta-v3-base_1,2.0,0.529050350189209,0.7106042819609817
mono_amh_microsoft_mdeberta-v3-base_1,3.0,0.506399393081665,0.6960692175729097
mono_amh_microsoft_mdeberta-v3-base_1,4.0,0.5835675597190857,0.6998305709023941
mono_amh_microsoft_mdeberta-v3-base_1,5.0,0.6021954417228699,0.7310789049919484
mono_amh_microsoft_mdeberta-v3-base_1,5.0,0.6021954417228699,0.7310789049919484
mono_amh_microsoft_mdeberta-v3-base_1,5.0,0.528987467288971,0.7301373544429777
mono_arb_microsoft_mdeberta-v3-base_1,1.0,0.4510976672172546,0.782597820260854
mono_arb_microsoft_mdeberta-v3-base_1,2.0,0.4698054790496826,0.8128871822359691
mono_arb_microsoft_mdeberta-v3-base_1,3.0,0.5873347520828247,0.789442322797324
mono_arb_microsoft_mdeberta-v3-base_1,4.0,0.9365642666816713,0.76875
mono_arb_microsoft_mdeberta-v3-base_1,5.0,0.8668711185455322,0.7805194805194806
mono_arb_microsoft_mdeberta-v3-base_1,5.0,0.4698054790496826,0.8128871822359691
mono_arb_microsoft_mdeberta-v3-base_1,5.0,0.504517138004303,0.7764506203256573
mono_ben_microsoft_mdeberta-v3-base_1,1.0,0.3934069275856018,0.8251182609323655
mono_ben_microsoft_mdeberta-v3-base_1,2.0,0.3730016350746155,0.8495038943603042
mono_ben_microsoft_mdeberta-v3-base_1,3.0,0.4569169878959656,0.8462812960235641
mono_ben_microsoft_mdeberta-v3-base_1,4.0,0.4984108805656433,0.8462812960235641
mono_ben_microsoft_mdeberta-v3-base_1,5.0,0.5845356583595276,0.8416723210053259
mono_ben_microsoft_mdeberta-v3-base_1,5.0,0.3730016350746155,0.8495038943603042
mono_ben_microsoft_mdeberta-v3-base_1,5.0,0.3918793797492981,0.8165230148542086
mono_deu_microsoft_mdeberta-v3-base_1,1.0,0.6113569140434265,0.7221714784956912
mono_deu_microsoft_mdeberta-v3-base_1,2.0,0.5871572494506836,0.6750811395600433
mono_deu_microsoft_mdeberta-v3-base_1,3.0,0.6302682161331177,0.6976827094474154
mono_deu_microsoft_mdeberta-v3-base_1,4.0,0.7164739966392517,0.6886713286713286
mono_deu_microsoft_mdeberta-v3-base_1,5.0,0.7882646918296814,0.6973470277987073
mono_deu_microsoft_mdeberta-v3-base_1,5.0,0.6113569140434265,0.7221714784956912
mono_deu_microsoft_mdeberta-v3-base_1,5.0,0.6230401396751404,0.6494144989720212
mono_eng_microsoft_mdeberta-v3-base_1,1.0,0.5225875377655029,0.7022850038583555
mono_eng_microsoft_mdeberta-v3-base_1,2.0,0.49433034658432,0.7224858849521316
mono_eng_microsoft_mdeberta-v3-base_1,3.0,0.509238064289093,0.7430692631765018
mono_eng_microsoft_mdeberta-v3-base_1,4.0,0.7337735295295715,0.7300919191606574
mono_eng_microsoft_mdeberta-v3-base_1,5.0,0.827538251876831,0.7319724504190523
mono_eng_microsoft_mdeberta-v3-base_1,5.0,0.509238064289093,0.7430692631765018
mono_eng_microsoft_mdeberta-v3-base_1,5.0,0.4843505322933197,0.7645381534029244
mono_fas_microsoft_mdeberta-v3-base_1,1.0,0.3733305037021637,0.8170924831081081
mono_fas_microsoft_mdeberta-v3-base_1,2.0,0.3373968005180359,0.7996357012750455
mono_fas_microsoft_mdeberta-v3-base_1,3.0,0.3561438918113708,0.8179226631109476
mono_fas_microsoft_mdeberta-v3-base_1,4.0,0.5013161301612854,0.8071133167907361
mono_fas_microsoft_mdeberta-v3-base_1,5.0,0.5030446648597717,0.8108572832227954
mono_fas_microsoft_mdeberta-v3-base_1,5.0,0.3561438918113708,0.8179226631109476
mono_fas_microsoft_mdeberta-v3-base_1,5.0,0.3907241821289062,0.8156960609254997
mono_hau_microsoft_mdeberta-v3-base_1,1.0,0.2050120681524276,0.8167670682730923
mono_hau_microsoft_mdeberta-v3-base_1,2.0,0.1786129027605056,0.8459135427220534
mono_hau_microsoft_mdeberta-v3-base_1,3.0,0.1838378310203552,0.8419913419913421
mono_hau_microsoft_mdeberta-v3-base_1,4.0,0.1792108863592147,0.8395604395604396
mono_hau_microsoft_mdeberta-v3-base_1,5.0,0.1977356374263763,0.8395604395604396
mono_hau_microsoft_mdeberta-v3-base_1,5.0,0.1786129027605056,0.8459135427220534
mono_hau_microsoft_mdeberta-v3-base_1,5.0,0.1856822222471237,0.8430550100803812
mono_hin_microsoft_mdeberta-v3-base_1,1.0,0.3493320643901825,0.7006802721088435
mono_hin_microsoft_mdeberta-v3-base_1,2.0,0.3082464635372162,0.8025616725539186
mono_hin_microsoft_mdeberta-v3-base_1,3.0,0.3513148725032806,0.7741545893719807
mono_hin_microsoft_mdeberta-v3-base_1,4.0,0.3159753978252411,0.8098404255319149
mono_hin_microsoft_mdeberta-v3-base_1,5.0,0.3269150257110595,0.8045486851457
mono_hin_microsoft_mdeberta-v3-base_1,5.0,0.3159753978252411,0.8098404255319149
mono_hin_microsoft_mdeberta-v3-base_1,5.0,0.3783199489116668,0.7604455031223846
mono_ita_microsoft_mdeberta-v3-base_1,1.0,0.654651403427124,0.3709981167608286
mono_ita_microsoft_mdeberta-v3-base_1,2.0,0.6108434796333313,0.6398757309941521
mono_ita_microsoft_mdeberta-v3-base_1,3.0,0.6095973253250122,0.6672101449275363
mono_ita_microsoft_mdeberta-v3-base_1,4.0,0.6481331586837769,0.6530732059793163
mono_ita_microsoft_mdeberta-v3-base_1,5.0,0.7244462966918945,0.6551086956521739
mono_ita_microsoft_mdeberta-v3-base_1,5.0,0.6095973253250122,0.6672101449275363
mono_ita_microsoft_mdeberta-v3-base_1,5.0,0.6776435375213623,0.6135643546430576
mono_khm_microsoft_mdeberta-v3-base_1,1.0,0.2633385062217712,0.6617484972260043
mono_khm_microsoft_mdeberta-v3-base_1,2.0,0.3270256221294403,0.672289156626506
mono_khm_microsoft_mdeberta-v3-base_1,3.0,0.3832150995731354,0.7137832339046174
mono_khm_microsoft_mdeberta-v3-base_1,4.0,0.4032487571239471,0.7296557033615374
mono_khm_microsoft_mdeberta-v3-base_1,5.0,0.4677976071834564,0.6935962735623177
mono_khm_microsoft_mdeberta-v3-base_1,5.0,0.4032487571239471,0.7296557033615374
mono_khm_microsoft_mdeberta-v3-base_1,5.0,0.344505101442337,0.7715186924262518
mono_mya_microsoft_mdeberta-v3-base_1,1.0,0.3434302508831024,0.8544438302315582
mono_mya_microsoft_mdeberta-v3-base_1,2.0,0.3575909435749054,0.8635818980646567
mono_mya_microsoft_mdeberta-v3-base_1,3.0,0.4170902073383331,0.8529796511627907
mono_mya_microsoft_mdeberta-v3-base_1,4.0,0.3763313293457031,0.8942682926829268
mono_mya_microsoft_mdeberta-v3-base_1,5.0,0.5354393124580383,0.8671746492501209
mono_mya_microsoft_mdeberta-v3-base_1,5.0,0.3763313293457031,0.8942682926829268
mono_mya_microsoft_mdeberta-v3-base_1,5.0,0.5293802618980408,0.863693857862579
mono_nep_microsoft_mdeberta-v3-base_1,1.0,0.3688029646873474,0.8605273592386995
