model,epoch,val_loss,val_f1_macro,thresholds
bert-base-german-cased_1,3.0,0.513059675693512,0.24216222892142172,"0.2,0.1,0.35000000000000003,0.5,0.15000000000000002,0.05"
bert-base-german-cased_1,4.0,0.5270296335220337,0.3534292765484002,"0.2,0.1,0.35000000000000003,0.5,0.15000000000000002,0.05"
bert-base-german-cased_1,5.0,0.5302047729492188,0.3396368804389127,"0.2,0.1,0.35000000000000003,0.5,0.15000000000000002,0.05"
bert-base-german-cased_1,5.0,0.5270296335220337,0.3534292765484002,"0.2,0.1,0.35000000000000003,0.5,0.15000000000000002,0.05"
bert-base-german-cased_1,5.0,0.5101796388626099,0.3687362729305503,"0.2,0.1,0.35000000000000003,0.5,0.15000000000000002,0.05"
bert-base-german-cased_2,1.0,0.48231130838394165,0.16137566137566137,"0.1,0.2,0.2,0.4,0.1,0.1"
bert-base-german-cased_2,2.0,0.4739358723163605,0.26636223155103367,"0.1,0.2,0.2,0.4,0.1,0.1"
bert-base-german-cased_2,3.0,0.49436575174331665,0.26795718287314924,"0.1,0.2,0.2,0.4,0.1,0.1"
bert-base-german-cased_2,4.0,0.5133991241455078,0.34453109596539644,"0.1,0.2,0.2,0.4,0.1,0.1"
bert-base-german-cased_2,5.0,0.5235965251922607,0.34112521913404975,"0.1,0.2,0.2,0.4,0.1,0.1"
bert-base-german-cased_2,5.0,0.5133991241455078,0.34453109596539644,"0.1,0.2,0.2,0.4,0.1,0.1"
bert-base-german-cased_2,5.0,0.5050089359283447,0.37807887139258844,"0.1,0.2,0.2,0.4,0.1,0.1"
bert-base-german-cased_3,1.0,0.4816420376300812,0.15404040404040406,"0.2,0.1,0.2,0.1,0.1,0.05"
bert-base-german-cased_3,2.0,0.4781370460987091,0.25371697906227214,"0.2,0.1,0.2,0.1,0.1,0.05"
bert-base-german-cased_3,3.0,0.49825599789619446,0.2673418541114865,"0.2,0.1,0.2,0.1,0.1,0.05"
bert-base-german-cased_3,4.0,0.518886387348175,0.32638031424733144,"0.2,0.1,0.2,0.1,0.1,0.05"
bert-base-german-cased_3,5.0,0.5254369974136353,0.3347460217547445,"0.2,0.1,0.2,0.1,0.1,0.05"
bert-base-german-cased_3,5.0,0.5254369974136353,0.3347460217547445,"0.2,0.1,0.2,0.1,0.1,0.05"
bert-base-german-cased_3,5.0,0.5230104923248291,0.3594880356905577,"0.2,0.1,0.2,0.1,0.1,0.05"
bert-base-chinese_1,1.0,0.2382172793149948,0.21582435791217894,"0.6000000000000001,0.2,0.6000000000000001,0.2,0.35000000000000003,0.15000000000000002"
bert-base-chinese_1,2.0,0.2238820493221283,0.29616861653474924,"0.6000000000000001,0.2,0.6000000000000001,0.2,0.35000000000000003,0.15000000000000002"
bert-base-chinese_1,3.0,0.21431005001068115,0.3495747779032025,"0.6000000000000001,0.2,0.6000000000000001,0.2,0.35000000000000003,0.15000000000000002"
bert-base-chinese_1,4.0,0.20557397603988647,0.47789578556610984,"0.6000000000000001,0.2,0.6000000000000001,0.2,0.35000000000000003,0.15000000000000002"
bert-base-chinese_1,5.0,0.20682305097579956,0.49772910815782206,"0.6000000000000001,0.2,0.6000000000000001,0.2,0.35000000000000003,0.15000000000000002"
bert-base-chinese_1,5.0,0.20682305097579956,0.49772910815782206,"0.6000000000000001,0.2,0.6000000000000001,0.2,0.35000000000000003,0.15000000000000002"
bert-base-chinese_1,5.0,0.24355989694595337,0.44845620065034253,"0.6000000000000001,0.2,0.6000000000000001,0.2,0.35000000000000003,0.15000000000000002"
bert-base-chinese_2,1.0,0.2401258647441864,0.1996789164103394,"0.5,0.45,0.3,0.15000000000000002,0.3,0.45"
bert-base-chinese_2,2.0,0.22376017272472382,0.2322259535770124,"0.5,0.45,0.3,0.15000000000000002,0.3,0.45"
bert-base-chinese_2,3.0,0.22135871648788452,0.31526742940491315,"0.5,0.45,0.3,0.15000000000000002,0.3,0.45"
bert-base-chinese_2,4.0,0.2040557563304901,0.4598090668039477,"0.5,0.45,0.3,0.15000000000000002,0.3,0.45"
bert-base-chinese_2,5.0,0.2060467004776001,0.5102232519582063,"0.5,0.45,0.3,0.15000000000000002,0.3,0.45"
bert-base-chinese_2,5.0,0.2060467004776001,0.5102232519582063,"0.5,0.45,0.3,0.15000000000000002,0.3,0.45"
bert-base-chinese_2,5.0,0.24728694558143616,0.3932715278333754,"0.5,0.45,0.3,0.15000000000000002,0.3,0.45"
bert-base-chinese_3,1.0,0.23306794464588165,0.2240993330102241,"0.7000000000000001,0.25,0.35000000000000003,0.15000000000000002,0.2,0.45"
bert-base-chinese_3,2.0,0.22018826007843018,0.2934436334144363,"0.7000000000000001,0.25,0.35000000000000003,0.15000000000000002,0.2,0.45"
bert-base-chinese_3,3.0,0.21285219490528107,0.4291086162957078,"0.7000000000000001,0.25,0.35000000000000003,0.15000000000000002,0.2,0.45"
bert-base-chinese_3,4.0,0.2055169939994812,0.46218208014546686,"0.7000000000000001,0.25,0.35000000000000003,0.15000000000000002,0.2,0.45"
bert-base-chinese_3,5.0,0.20575125515460968,0.545930136493862,"0.7000000000000001,0.25,0.35000000000000003,0.15000000000000002,0.2,0.45"
bert-base-chinese_3,5.0,0.20575125515460968,0.545930136493862,"0.7000000000000001,0.25,0.35000000000000003,0.15000000000000002,0.2,0.45"
bert-base-chinese_3,5.0,0.24435988068580627,0.42817339107186636,"0.7000000000000001,0.25,0.35000000000000003,0.15000000000000002,0.2,0.45"
xlm-roberta-base_1,1.0,0.38380494713783264,0.5235673149689607,"0.35000000000000003,0.25,0.2,0.35000000000000003,0.3,0.3"
xlm-roberta-base_1,2.0,0.36536312103271484,0.5497331628720046,"0.35000000000000003,0.25,0.2,0.35000000000000003,0.3,0.3"
xlm-roberta-base_1,3.0,0.3808148503303528,0.5504531680638542,"0.35000000000000003,0.25,0.2,0.35000000000000003,0.3,0.3"
xlm-roberta-base_1,4.0,0.3801235258579254,0.5796501531775564,"0.35000000000000003,0.25,0.2,0.35000000000000003,0.3,0.3"
xlm-roberta-base_1,5.0,0.3920186460018158,0.5824874261170819,"0.35000000000000003,0.25,0.2,0.35000000000000003,0.3,0.3"
xlm-roberta-base_1,5.0,0.3920186460018158,0.5824874261170819,"0.35000000000000003,0.25,0.2,0.35000000000000003,0.3,0.3"
xlm-roberta-base_1,5.0,0.3898433744907379,0.5737909625172944,"0.35000000000000003,0.25,0.2,0.35000000000000003,0.3,0.3"
xlm-roberta-base_2,1.0,0.38912150263786316,0.5301871212744373,"0.45,0.25,0.35000000000000003,0.3,0.35000000000000003,0.3"
xlm-roberta-base_2,2.0,0.3634819984436035,0.5445831257231377,"0.45,0.25,0.35000000000000003,0.3,0.35000000000000003,0.3"
xlm-roberta-base_2,3.0,0.38747671246528625,0.5517060786374769,"0.45,0.25,0.35000000000000003,0.3,0.35000000000000003,0.3"
xlm-roberta-base_2,4.0,0.3898186683654785,0.5790237893953644,"0.45,0.25,0.35000000000000003,0.3,0.35000000000000003,0.3"
xlm-roberta-base_2,5.0,0.4003233015537262,0.5794046506236915,"0.45,0.25,0.35000000000000003,0.3,0.35000000000000003,0.3"
xlm-roberta-base_2,5.0,0.4003233015537262,0.5794046506236915,"0.45,0.25,0.35000000000000003,0.3,0.35000000000000003,0.3"
xlm-roberta-base_2,5.0,0.3892196714878082,0.5785223108056075,"0.45,0.25,0.35000000000000003,0.3,0.35000000000000003,0.3"
xlm-roberta-base_3,1.0,0.3920617997646332,0.5001764813966543,"0.35000000000000003,0.35000000000000003,0.25,0.3,0.35000000000000003,0.3"
