model,epoch,val_loss,val_f1_macro,thresholds
bert-base-uncased_1,1.0,0.25461992621421814,0.09411764705882353,"0.25,0.25,0.15000000000000002,0.1,0.1"
bert-base-uncased_1,2.0,0.22175194323062897,0.18852213916043703,"0.25,0.25,0.15000000000000002,0.1,0.1"
bert-base-uncased_1,3.0,0.22049467265605927,0.26320532579844164,"0.25,0.25,0.15000000000000002,0.1,0.1"
bert-base-uncased_1,4.0,0.22561654448509216,0.2569503546099291,"0.25,0.25,0.15000000000000002,0.1,0.1"
bert-base-uncased_1,5.0,0.228258416056633,0.27877215189873417,"0.25,0.25,0.15000000000000002,0.1,0.1"
bert-base-uncased_1,5.0,0.228258416056633,0.27877215189873417,"0.25,0.25,0.15000000000000002,0.1,0.1"
bert-base-uncased_1,5.0,0.21687015891075134,0.2873989846918235,"0.25,0.25,0.15000000000000002,0.1,0.1"
bert-base-uncased_2,1.0,0.24275889992713928,0.11509433962264151,"0.3,0.2,0.25,0.1,0.1"
bert-base-uncased_2,2.0,0.21934448182582855,0.21382572312170275,"0.3,0.2,0.25,0.1,0.1"
bert-base-uncased_2,3.0,0.22724740207195282,0.22189682740048813,"0.3,0.2,0.25,0.1,0.1"
bert-base-uncased_2,4.0,0.23194929957389832,0.21897170885521594,"0.3,0.2,0.25,0.1,0.1"
bert-base-uncased_2,5.0,0.23382946848869324,0.2685340802987862,"0.3,0.2,0.25,0.1,0.1"
bert-base-uncased_2,5.0,0.23382946848869324,0.2685340802987862,"0.3,0.2,0.25,0.1,0.1"
bert-base-uncased_2,5.0,0.21575000882148743,0.26003586862575623,"0.3,0.2,0.25,0.1,0.1"
bert-base-uncased_3,1.0,0.23911406099796295,0.12773109243697478,"0.35000000000000003,0.25,0.1,0.15000000000000002,0.1"
bert-base-uncased_3,2.0,0.2139037549495697,0.21001182499014584,"0.35000000000000003,0.25,0.1,0.15000000000000002,0.1"
bert-base-uncased_3,3.0,0.21921293437480927,0.23243919885550784,"0.35000000000000003,0.25,0.1,0.15000000000000002,0.1"
bert-base-uncased_3,4.0,0.22837530076503754,0.28731856378915205,"0.35000000000000003,0.25,0.1,0.15000000000000002,0.1"
bert-base-uncased_3,5.0,0.23091071844100952,0.2981393408427201,"0.35000000000000003,0.25,0.1,0.15000000000000002,0.1"
bert-base-uncased_3,5.0,0.23091071844100952,0.2981393408427201,"0.35000000000000003,0.25,0.1,0.15000000000000002,0.1"
bert-base-uncased_3,5.0,0.22862747311592102,0.28081937928846895,"0.35000000000000003,0.25,0.1,0.15000000000000002,0.1"
bert-base-german-cased_1,1.0,0.3591783046722412,0.14464307751978986,"0.1,0.35000000000000003,0.25,0.7500000000000001,0.1"
bert-base-german-cased_1,2.0,0.3492051064968109,0.3888722428547962,"0.1,0.35000000000000003,0.25,0.7500000000000001,0.1"
bert-base-german-cased_1,3.0,0.3687684237957001,0.3163096500530223,"0.1,0.35000000000000003,0.25,0.7500000000000001,0.1"
bert-base-german-cased_1,4.0,0.3850923478603363,0.4296624225195654,"0.1,0.35000000000000003,0.25,0.7500000000000001,0.1"
bert-base-german-cased_1,5.0,0.3945687711238861,0.405131019179501,"0.1,0.35000000000000003,0.25,0.7500000000000001,0.1"
bert-base-german-cased_1,5.0,0.3850923478603363,0.4296624225195654,"0.1,0.35000000000000003,0.25,0.7500000000000001,0.1"
bert-base-german-cased_1,5.0,0.3578418493270874,0.44946643681121684,"0.1,0.35000000000000003,0.25,0.7500000000000001,0.1"
bert-base-german-cased_2,1.0,0.3592935800552368,0.12655266628980594,"0.1,0.2,0.2,0.4,0.15000000000000002"
bert-base-german-cased_2,2.0,0.3457627594470978,0.4148528772656389,"0.1,0.2,0.2,0.4,0.15000000000000002"
bert-base-german-cased_2,3.0,0.37242645025253296,0.34884264671498716,"0.1,0.2,0.2,0.4,0.15000000000000002"
bert-base-german-cased_2,4.0,0.390933096408844,0.46149126317193545,"0.1,0.2,0.2,0.4,0.15000000000000002"
bert-base-german-cased_2,5.0,0.39924919605255127,0.4581672509740489,"0.1,0.2,0.2,0.4,0.15000000000000002"
bert-base-german-cased_2,5.0,0.390933096408844,0.46149126317193545,"0.1,0.2,0.2,0.4,0.15000000000000002"
bert-base-german-cased_2,5.0,0.374920129776001,0.422490468347427,"0.1,0.2,0.2,0.4,0.15000000000000002"
bert-base-german-cased_3,1.0,0.35577839612960815,0.1065990990990991,"0.15000000000000002,0.25,0.3,0.55,0.1"
bert-base-german-cased_3,2.0,0.3454303443431854,0.3573099415204678,"0.15000000000000002,0.25,0.3,0.55,0.1"
bert-base-german-cased_3,3.0,0.36307293176651,0.3498592891963786,"0.15000000000000002,0.25,0.3,0.55,0.1"
bert-base-german-cased_3,4.0,0.37758275866508484,0.4396374110925194,"0.15000000000000002,0.25,0.3,0.55,0.1"
bert-base-german-cased_3,5.0,0.39100274443626404,0.4305588733057242,"0.15000000000000002,0.25,0.3,0.55,0.1"
bert-base-german-cased_3,5.0,0.37758275866508484,0.4396374110925194,"0.15000000000000002,0.25,0.3,0.55,0.1"
bert-base-german-cased_3,5.0,0.3647317588329315,0.4372166942906032,"0.15000000000000002,0.25,0.3,0.55,0.1"
bert-base-chinese_1,1.0,0.1641387939453125,0.4273605496403424,"0.6000000000000001,0.8500000000000001,0.6500000000000001,0.5,0.2"
bert-base-chinese_1,2.0,0.13672953844070435,0.608543713468474,"0.6000000000000001,0.8500000000000001,0.6500000000000001,0.5,0.2"
bert-base-chinese_1,3.0,0.12924577295780182,0.763238587424634,"0.6000000000000001,0.8500000000000001,0.6500000000000001,0.5,0.2"
bert-base-chinese_1,4.0,0.12694823741912842,0.7702966095422313,"0.6000000000000001,0.8500000000000001,0.6500000000000001,0.5,0.2"
bert-base-chinese_1,5.0,0.12520743906497955,0.767406012284061,"0.6000000000000001,0.8500000000000001,0.6500000000000001,0.5,0.2"
bert-base-chinese_1,5.0,0.12694823741912842,0.7702966095422313,"0.6000000000000001,0.8500000000000001,0.6500000000000001,0.5,0.2"
bert-base-chinese_1,5.0,0.15430928766727448,0.7450422942674758,"0.6000000000000001,0.8500000000000001,0.6500000000000001,0.5,0.2"
bert-base-chinese_2,1.0,0.16909238696098328,0.42486327970198945,"0.55,0.8500000000000001,0.4,0.55,0.1"
bert-base-chinese_2,2.0,0.1419132500886917,0.6305658896257531,"0.55,0.8500000000000001,0.4,0.55,0.1"
bert-base-chinese_2,3.0,0.12833130359649658,0.743411231884058,"0.55,0.8500000000000001,0.4,0.55,0.1"
bert-base-chinese_2,4.0,0.13083739578723907,0.751041832445115,"0.55,0.8500000000000001,0.4,0.55,0.1"
bert-base-chinese_2,5.0,0.13205735385417938,0.7761287242087599,"0.55,0.8500000000000001,0.4,0.55,0.1"
bert-base-chinese_2,5.0,0.13205735385417938,0.7761287242087599,"0.55,0.8500000000000001,0.4,0.55,0.1"
bert-base-chinese_2,5.0,0.15212540328502655,0.7515188812906101,"0.55,0.8500000000000001,0.4,0.55,0.1"
bert-base-chinese_3,1.0,0.16698116064071655,0.4821698323224357,"0.55,0.3,0.7000000000000001,0.4,0.5"
bert-base-chinese_3,2.0,0.13439011573791504,0.7300506258850524,"0.55,0.3,0.7000000000000001,0.4,0.5"
bert-base-chinese_3,3.0,0.12796029448509216,0.74718284260269,"0.55,0.3,0.7000000000000001,0.4,0.5"
